Value,Epoch,Time,Constraint met?
831.3383774,3,0.736031771,1
831.3383774,5,1.120005369,1
831.3383774,5,1.080112457,1
831.3406942,3,0.74500823,0
831.3383774,4,0.982372999,1
831.3383774,3,0.751989841,1
831.3383774,5,1.057458639,1
831.3383774,5,1.074361086,1
831.3383774,4,0.902288914,1
831.3406942,5,1.095271826,0
831.3383774,5,1.10371542,1
831.3406942,4,0.912961245,0
831.3406942,4,0.947587013,0
831.3383774,6,1.260159969,1
831.3406942,4,0.929258823,0
831.3383774,4,0.899142504,1
831.3383774,3,0.739655972,1
831.3406942,4,0.922685146,0
831.3383774,4,0.900359154,1
831.3383774,4,0.941619396,1
831.3383774278187,3,0.750993013381958,1
831.3383774278183,5,1.0781188011169434,1
831.3406941723736,4,0.8917727470397949,0
831.3383774278182,5,1.0838725566864014,1
831.3383774278182,4,0.9076540470123291,1
831.3383774278184,4,0.9132781028747559,1
831.3383774278183,3,0.7221100330352783,1
831.3383774278184,4,0.923130989074707,1
831.3383774278186,5,1.1334254741668701,1
831.3383774278183,4,0.9387505054473877,1
831.3383774278184,3,0.7242484092712402,1
831.3383774278183,5,1.0892999172210693,1
831.340694172374,3,0.7593133449554443,0
831.3383774278187,4,0.9365196228027344,1
831.340694172374,4,0.9434843063354492,0
831.3383774278187,4,1.0003249645233154,1
831.340694172374,3,0.7666792869567871,0
831.340694172374,5,1.1598989963531494,0
831.3406941723738,4,0.920567512512207,0
831.3406941723741,4,1.0698926448822021,0
831.3383774278183,4,0.9267597198486328,1
831.3383774278183,3,0.8123695850372314,1
831.3383774278187,5,1.1134932041168213,1
831.340694172374,3,0.7491064071655273,0
831.3383774278187,5,1.212622880935669,1
831.3406941723741,5,1.0922558307647705,0
831.3383774278183,4,1.0853335857391357,1
831.3383774278183,5,1.0823142528533936,1
831.3383774278187,3,0.7400000095367432,1
831.3383774278186,3,0.7254157066345215,1
831.340694172374,3,0.7629685401916504,0
831.3383774278183,4,0.9071612358093262,1
831.3383774278184,5,1.059108018875122,1
831.3406941723741,4,0.9392898082733154,0
831.3383774278183,4,0.8958859443664551,1
831.3383774278187,4,0.9059960842132568,1
831.3406941723741,4,0.8831696510314941,0
831.3383774278187,5,1.1115083694458008,1
831.3383774278183,5,1.088667869567871,1
831.340694172374,3,0.7340295314788818,0
831.3383774278186,4,0.8785181045532227,1
831.3383774278186,4,0.8858435153961182,1
831.3383774278187,4,0.9229233264923096,1
831.340694172374,5,1.0894384384155273,0
831.3383774278182,3,0.7422232627868652,1
831.3383774278183,4,0.9079725742340088,1
831.3383774278183,6,1.3002877235412598,1
831.3406941723741,3,0.7091152667999268,0
831.3406941723738,5,1.1326968669891357,0
831.3383774278182,3,0.7309186458587646,1
831.3406941723739,4,0.9347906112670898,0
831.3383774278186,4,0.8824427127838135,1
831.3406941723738,4,0.9148557186126709,0
831.3383774278186,4,0.9395430088043213,1
831.3383774278183,5,1.098353385925293,1
831.3383774278182,3,0.7280852794647217,1
831.3406941723741,2,0.5325803756713867,0
831.3406941723736,4,0.9004454612731934,0
831.3406941723741,4,1.0160577297210693,0
831.3383774278183,4,0.9684128761291504,1
831.3406941723739,4,0.9225039482116699,0
831.3383774278184,5,1.107065200805664,1
831.3383774278183,3,0.7214720249176025,1
831.3406941723741,4,0.8986654281616211,0
831.3383774278182,4,0.8856539726257324,1
831.3406941723741,4,0.8814144134521484,0
831.3383774278182,6,1.3080744743347168,1
831.3383774278187,5,1.08772873878479,1
831.3383774278186,5,1.0833649635314941,1
831.3406941723741,5,1.102691888809204,0
831.3383774278184,5,1.0842723846435547,1
831.3406941723741,5,1.1626293659210205,0
831.3383774278184,3,0.7711300849914551,1
831.3383774278183,5,1.1022388935089111,1
831.3383774278186,4,0.9560256004333496,1
831.3406941723736,4,0.9129335880279541,0
831.3383774278182,4,0.969383716583252,1
831.3383774278186,4,0.9321639537811279,1
831.3406941723741,4,0.9268507957458496,0
831.3406941723736,4,0.8946442604064941,0
831.3383774278182,3,0.741797685623169,1
831.3383774278183,5,1.0997626781463623,1
831.3383774278183,5,1.217231273651123,1
831.3383774278184,4,0.9384071826934814,1
831.3383774278182,4,0.9532299041748047,1
831.3383774278183,4,0.9488217830657959,1
831.3406941723739,5,1.139512062072754,0
831.3406941723741,4,0.9765312671661377,0
831.3406941723741,4,1.0121142864227295,0
831.3383774278183,5,1.182361364364624,1
831.3383774278186,4,0.9351766109466553,1
831.3383774278183,4,0.9559891223907471,1
831.3406941723739,4,0.9640612602233887,0
831.3383774278183,3,0.7601199150085449,1
831.3383774278186,3,0.7754299640655518,1
831.3383774278182,4,0.9299592971801758,1
831.3383774278182,3,0.7701148986816406,1
831.3383774278184,5,1.1389825344085693,1
831.3383774278182,5,1.166773796081543,1
831.3383774278183,4,0.9621341228485107,1
831.3383774278183,4,0.9527156352996826,1
831.3383774278186,3,0.750540018081665,1
831.3383774278187,4,1.0172803401947021,1
831.3383774278183,5,1.166428804397583,1
831.3406941723738,4,0.9653439521789551,0
831.3383774278183,5,1.178189992904663,1
831.3383774278183,4,0.9469301700592041,1
831.3383774278187,4,0.9317035675048828,1
831.3383774278184,4,0.9465858936309814,1
831.3383774278186,4,0.9746010303497314,1
831.3383774278182,5,1.157261848449707,1
831.3406941723741,4,0.9697661399841309,0
831.3383774278182,5,1.1524670124053955,1
831.3383774278186,6,1.3042247295379639,1
831.3406941723741,3,0.7665271759033203,0
831.3383774278183,4,0.9728209972381592,1
831.3406941723736,4,0.9638657569885254,0
831.3406941723739,4,0.9411430358886719,0
831.3383774278187,3,0.7283158302307129,1
831.3383774278183,5,1.1903834342956543,1
831.3406941723736,4,0.9544472694396973,0
831.3383774278183,5,1.1653900146484375,1
831.3406941723738,4,0.9679739475250244,0
831.3406941723739,5,1.1351194381713867,0
831.3383774278184,4,0.9559423923492432,1
831.3383774278186,3,0.7880370616912842,1
831.3383774278186,5,1.1889686584472656,1
831.3383774278186,4,0.9497942924499512,1
831.3406941723739,4,0.978712797164917,0
831.3383774278183,5,1.1747419834136963,1
